sl_no,ssc_p,ssc_b,hsc_p,hsc_b,degree_p,workex,etest_p,mba_p,salary
36,69,Central,78,Central,72,0,71,62.74,300000
37,51,Central,44,Central,57,0,64,51.45,18724
38,79,Central,76,Central,65.6,0,58,55.47,320000
39,73,Others,58,Others,66,0,53.7,56.86,240000
40,81,Others,68,Others,64,0,93,62.56,411000
41,78,Central,77,Others,80,0,60,66.72,287000
42,74,Others,63.16,Others,65,1,65,69.76,198765
43,49,Others,39,Central,65,0,63,51.21,19762
44,87,Others,87,Others,68,0,95,62.9,300000
45,77,Others,73,Others,81,1,89,69.7,200000
46,76,Central,64,Central,72,0,58,66.53,11428
47,70.89,Others,71.98,Others,65.6,0,68,71.63,18068
48,63,Central,60,Central,57,1,78,54.55,204000
49,63,Others,62,Others,68,0,64,62.46,250000
50,50,Others,37,Others,52,0,65,56.11,13685
51,75.2,Central,73.2,Central,68.4,0,65,62.98,200000
52,54.4,Central,61.12,Central,56.2,0,67,62.65,18111
53,40.89,Others,45.83,Others,53,0,71.2,65.49,11624
54,80,Others,70,Others,72,0,87,71.04,450000
55,74,Central,60,Others,69,0,78,65.56,216000
56,60.4,Central,66.6,Others,65,0,71,52.71,220000
57,63,Others,71.4,Others,61.4,0,68,66.88,240000
58,68,Central,76,Central,74,0,80,63.59,360000
59,74,Central,62,Others,68,0,74,57.99,268000
60,52.6,Central,65.58,Others,72.11,0,57.6,56.66,265000
61,74,Central,70,Central,72,1,60,57.24,260000
62,84.2,Central,73.4,Central,66.89,0,61.6,62.48,300000
63,86.5,Others,64.2,Others,67.4,0,59,59.69,240000
64,61,Others,70,Others,64,0,68.5,59.5,17354
65,80,Others,73,Others,75,0,61,58.78,240000
66,54,Others,47,Others,57,0,89.69,57.1,12305
67,83,Others,74,Others,66,0,68.92,58.46,275000
68,80.92,Others,78.5,Others,67,0,68.71,60.99,275000
69,69.7,Central,47,Central,72.7,0,79,59.24,12094
70,73,Central,73,Central,66,1,70,68.07,275000
71,82,Others,61,Others,62,0,89,65.45,360000
72,75,Others,70.29,Others,71,0,95,66.94,240000
73,84.86,Others,67,Others,78,0,95.5,68.53,240000
74,64.6,Central,83.83,Others,71.72,0,86,59.75,218000
75,56.6,Central,64.8,Central,70.2,0,84.27,67.2,336000
76,59,Central,62,Others,77.5,0,74,67,16852
77,66.5,Others,70.4,Central,71.93,0,61,64.27,230000
78,64,Others,80,Others,65,1,69,57.65,500000
79,84,Others,90.9,Others,64.5,0,86.04,59.42,270000
80,69,Central,62,Central,66,0,75,67.99,17111
81,69,Others,62,Others,69,1,67,62.35,240000
82,81.7,Others,63,Others,67,1,86,70.2,300000
83,63,Central,67,Central,74,0,82,60.44,10225
84,84,Others,79,Others,68,1,84,66.69,300000
85,70,Central,63,Others,70,1,55,62,300000
86,83.84,Others,89.83,Others,77.2,1,78.74,76.18,400000
87,62,Others,63,Others,64,0,67,57.03,220000
88,59.6,Central,51,Central,60,0,75,59.08,15105
89,66,Central,62,Central,73,0,58,64.36,210000
90,84,Others,75,Others,69,1,62,62.36,210000
91,85,Others,90,Others,82,0,92,68.03,300000
92,52,Central,57,Central,50.8,0,67,62.79,17613
93,60.23,Central,69,Central,66,0,72,59.47,230000
94,52,Central,62,Central,54,0,72,55.41,11491
95,58,Central,62,Central,64,0,53.88,54.97,260000
96,73,Central,78,Others,65,1,95.46,62.16,420000
97,76,Central,70,Central,76,1,66,64.44,300000
98,70.5,Central,62.5,Others,61,0,93.91,69.03,11316
99,69,Central,73,Central,65,0,70,57.31,220000
100,54,Central,82,Others,63,0,50,59.47,15795
101,45,Others,57,Others,58,1,56.39,64.95,27657
102,63,Central,72,Central,68,0,78,60.44,380000
103,77,Others,61,Others,68,1,57.5,61.31,300000
104,73,Central,78,Central,73,1,85,65.83,240000
105,69,Central,63,Others,65,1,55,58.23,360000
106,59,Central,64,Others,58,0,85,55.3,16115
107,61.08,Others,50,Others,54,0,71,65.69,12907
108,82,Others,90,Others,83,0,80,73.52,200000
109,61,Central,82,Central,69,0,84,58.31,300000
110,52,Central,63,Others,65,1,86,56.09,498764
111,69.5,Central,70,Central,72,0,57.2,54.8,250000
112,51,Others,54,Others,61,0,60,60.64,15133
113,58,Others,61,Others,61,0,58,53.94,250000
114,73.96,Others,79,Others,67,0,72.15,63.08,280000
115,65,Central,68,Others,69,0,53.7,55.01,250000
116,73,Others,63,Others,66,0,89,60.5,216000
117,68.2,Central,72.8,Central,66.6,1,96,70.85,300000
118,77,Others,75,Others,73,0,80,67.05,240000
119,76,Central,80,Central,78,1,97,70.48,276000
120,60.8,Central,68.4,Central,64.6,1,82.66,64.34,940000
121,58,Others,40,Others,59,0,73,58.81,16402
122,64,Central,67,Others,69.6,1,55.67,71.49,250000
123,66.5,Central,66.8,Central,69.3,1,80.4,71,236000
124,74,Others,59,Others,73,1,60,56.7,240000
125,67,Central,71,Central,64.33,1,64,61.26,250000
126,84,Central,73,Central,73,0,75,73.33,350000
127,79,Others,61,Others,75.5,1,70,68.2,210000
128,72,Others,60,Others,69,0,55.5,58.4,250000
129,80.4,Central,73.4,Central,77.72,1,81.2,76.26,400000
130,76.7,Central,89.7,Others,66,1,90,68.55,250000
131,62,Central,65,Others,60,0,84,64.15,13889
132,74.9,Others,57,Others,62,1,80,60.78,360000
133,67,Others,68,Others,64,1,74.4,53.49,300000
134,73,Central,64,Others,77,1,65,60.98,250000
135,77.44,Central,92,Others,72,1,94,67.13,250000
136,72,Central,56,Others,69,0,55.6,65.63,200000
137,47,Central,59,Central,64,0,78,61.58,13446
138,67,Others,63,Central,72,0,56,60.41,225000
139,82,Others,64,Others,73,1,96,71.77,250000
140,77,Central,70,Central,59,1,58,54.43,220000
141,65,Central,64.8,Others,69.5,1,56,56.94,265000
142,66,Central,64,Central,60,0,60,61.9,16094
143,85,Central,60,Others,73.43,1,60,61.29,260000
144,77.67,Others,64.89,Others,70.67,0,89,60.39,300000
145,52,Others,50,Others,61,0,60,58.52,15440
146,89.4,Others,65.66,Others,71.25,0,72,63.23,400000
147,62,Central,63,Others,66,0,85,55.14,233000
148,70,Central,74,Central,65,0,83,62.28,300000
149,77,Central,86,Central,56,0,57,64.08,240000
150,44,Central,58,Central,55,1,64.25,58.54,50123
151,71,Central,58.66,Central,58,1,56,61.3,690000
152,65,Central,65,Central,75,0,83,58.87,270000
153,75.4,Others,60.5,Central,84,0,98,65.25,240000
154,49,Others,59,Others,65,1,86,62.48,340000
155,53,Central,63,Others,60,1,70,53.2,250000
156,51.57,Others,74.66,Others,59.9,1,56.15,65.99,93751
157,84.2,Central,69.4,Central,65,1,80,52.72,255000
158,66.5,Central,62.5,Central,60.9,0,93.4,55.03,300000
159,67,Others,63,Others,64,0,60,61.87,16799
160,52,Central,49,Others,58,0,62,60.59,13422
161,87,Central,74,Central,65,1,75,72.29,300000
162,55.6,Others,51,Others,57.5,0,57.63,62.72,11518
163,74.2,Central,87.6,Others,77.25,1,75.2,66.06,285000
164,63,Others,67,Others,64,0,75,66.46,500000
165,67.16,Central,72.5,Central,63.35,0,53.04,65.52,250000
166,63.3,Central,78.33,Others,74,0,80,74.56,17249
167,62,Others,62,Others,60,1,63,52.38,240000
168,67.9,Others,62,Others,67,1,58.1,75.71,151324
169,48,Central,51,Central,58,1,60,58.79,147560
170,59.96,Others,42.16,Others,61.26,0,54.48,65.48,15568
171,63.4,Others,67.2,Others,60,0,58.06,69.28,12330
172,80,Others,80,Others,72,1,63.79,66.04,290000
173,73,Others,58,Others,56,0,84,52.64,300000
174,52,Others,52,Others,55,0,67,59.32,17957
175,73.24,Others,50.83,Others,64.27,1,64,66.23,500000
176,63,Others,62,Others,65,0,87.5,60.69,11091
177,59,Central,60,Others,56,0,55,57.9,220000
178,73,Central,97,Others,79,1,89,70.81,650000
179,68,Others,56,Others,68,0,73,68.07,350000
180,77.8,Central,64,Central,64.2,0,75.5,72.14,19287
181,65,Central,71.5,Others,62.8,1,57,56.6,265000
182,62,Central,60.33,Others,64.21,0,63,60.02,13654
183,52,Others,65,Others,57,1,75,59.81,376590
184,65,Central,77,Central,69,0,60,61.82,276000
185,56.28,Others,62.83,Others,59.79,0,60,57.29,19986
186,88,Central,72,Central,78,0,82,71.43,252000
187,52,Central,64,Central,61,0,55,62.93,11018
188,78.5,Central,65.5,Central,67,1,95,64.86,280000
189,61.8,Others,47,Others,54.38,0,57,56.13,12865
190,54,Central,77.6,Others,69.2,0,95.65,66.94,13395
191,64,Others,70.2,Central,61,0,50,62.5,12522
192,67,Others,61,Central,72,0,72,61.01,264000
193,65.2,Central,61.4,Central,64.8,1,93.4,57.34,270000
194,60,Central,63,Central,56,1,80,56.63,300000
195,52,Others,55,Others,56.3,0,59,64.74,12471
196,66,Central,76,Central,72,1,84,58.95,275000
197,72,Others,63,Others,77.5,1,78,54.48,250000
198,83.96,Others,53,Others,91,0,59.32,69.71,260000
199,67,Central,70,Central,65,0,88,71.96,15053
200,69,Others,65,Others,57,0,73,55.8,265000
201,69,Others,60,Others,65,0,87.55,52.81,300000
202,54.2,Central,63,Others,58,0,79,58.44,13659
203,70,Central,63,Central,66,0,61.28,60.11,240000
204,55.68,Others,61.33,Others,56.87,0,66,58.3,260000
205,74,Others,73,Others,73,1,80,67.69,210000
206,61,Others,62,Others,65,0,62,56.81,250000
207,41,Central,42,Central,60,0,97,53.39,10163
208,83.33,Central,78,Others,61,1,88.56,71.55,300000
209,43,Central,60,Others,65,0,92.66,62.92,17028
210,62,Central,72,Central,65,0,67,56.49,216000
211,80.6,Others,82,Others,77.6,0,91,74.49,400000
212,58,Others,60,Others,72,0,74,53.62,275000
213,67,Others,67,Others,73,1,59,69.72,295000
214,74,Others,66,Others,58,0,70,60.23,204000
215,62,Central,58,Others,53,0,89,60.22,10243
